DoggieName,Frequency
CHARLIE,678
MAX,560
BELLA,515
BUDDY,480
MOLLY,463
MAGGIE,416
BAILEY,402
LUCY,376
COCO,369
DAISY,364
TOBY,353
LOLA,352
LUCKY,313
ROCKY,308
NO NAME,282
RILEY,245
JACK,242
CHLOE,235
ROXY,235
COOPER,218
RUBY,216
TEDDY,215
LILY,213
STELLA,210
MILO,206
SADIE,203
SOPHIE,203
ROSIE,199
OSCAR,198
JAKE,197
HARLEY,189
ABBY,184
ZOE,183
DEXTER,177
LUNA,177
OLIVER,171
SAM,167
TUCKER,167
MURPHY,161
ANGEL,158
BEAR,154
PRINCESS,154
TYSON,151
MARLEY,149
GINGER,147
PEPPER,146
BENTLEY,145
CODY,143
SASHA,140
WINSTON,138
JASPER,136
DUKE,135
GRACIE,131
SHADOW,130
CHICO,126
EMMA,125
CASEY,122
LEO,122
JACKSON,121
PENNY,121
HENRY,119
REX,119
COOKIE,118
JOEY,114
MAYA,114
MIA,108
SAMMY,107
OREO,103
ELLA,101
RUFUS,101
SIMBA,101
ZEUS,100
BENJI,98
JESSIE,98
LADY,98
ZOEY,96
BUSTER,95
HOLLY,95
SPARKY,95
MICKEY,94
LULU,93
PIPER,93
SCOUT,91
DIESEL,90
HUNTER,90
RUSTY,90
FRANKIE,89
MONTY,89
PRINCE,89
MOCHA,87
SNOOPY,85
HUDSON,84
CLEO,83
FINNEGAN,83
GIZMO,82
LEXI,82
ELLIE,81
HONEY,80
LOUIE,80
WINNIE,80
CHESTER,78
SANDY,77
MADDIE,75
MISSY,75
BRANDY,74
CHELSEA,74
DAKOTA,74
OLLIE,74
SYDNEY,74
WILLOW,74
ARCHIE,72
BEAU,72
KOBE,72
FINN,71
GEORGE,71
HUGO,71
OTIS,71
SUNNY,71
LOKI,70
BEN,69
BLUE,69
BOBBY,69
ACE,68
EDDIE,68
BRUNO,66
ANGUS,64
ANNIE,63
MIMI,63
KATIE,62
ROMEO,62
SHELBY,62
BAXTER,61
LAYLA,60
ROXIE,60
KING,59
MIKA,59
MILLIE,59
ALFIE,58
CHASE,58
LILLY,58
TRIXIE,58
LOUIS,57
OLIVE,57
REMY,57
BENNY,56
ROCCO,56
BANDIT,55
BOOMER,55
PEANUT,55
POPPY,55
RUDY,55
ABBEY,54
CHEWY,54
GUINNESS,54
GUS,53
TAZ,53
CASPER,52
HAPPY,52
MISTY,52
NALA,52
BONNIE,51
HEIDI,51
JAZZ,51
MINNIE,51
PARKER,51
ZIGGY,51
COSMO,50
DIXIE,50
OZZY,50
SHEBA,50
HANK,49
HERSHEY,49
MAC,49
NINA,49
STANLEY,49
GEORGIA,48
JUNIOR,48
PHOEBE,48
BARNEY,47
BRODY,47
GRIFFIN,47
INDY,47
JESSE,47
RUPERT,47
SUMMER,47
BELLE,46
CASSIE,46
COCOA,46
DARCY,46
JERSEY,46
SIMON,46
BABY,45
CHARLOTTE,45
JAX,45
SPENCER,45
SPIKE,45
STORM,45
JUNO,44
PATCHES,44
GUCCI,43
HARRY,43
JACKIE,43
LUKE,43
RAMBO,43
RIPLEY,43
SKYE,43
BILLY,41
KALI,41
NIKKI,41
CALLIE,40
KIKI,40
KODA,40
LEXIE,40
SUGAR,40
TESSA,40
BETTY,39
JASMINE,39
KARMA,39
MAPLE,39
MOOSE,39
PEBBLES,39
SALLY,39
SCRUFFY,39
CHANCE,38
QUINN,38
REGGIE,38
ROSCOE,38
SAMSON,38
SHILOH,38
TESS,38
AMBER,37
BROOKLYN,37
HAZEL,37
JIMMY,37
TOTO,37
JOSIE,36
THOR,36
TOMMY,36
APOLLO,35
GIGI,35
LACEY,35
MAXIMUS,35
BRODIE,34
BRUCE,34
CALI,34
FERGUS,34
GEORGIE,34
ODIN,34
TARA,34
TASHA,34
WALTER,34
BOBO,33
BOSCO,33
DIAMOND,33
DUDLEY,33
DUSTY,33
FARLEY,33
KIWI,33
MUFFIN,33
OZZIE,33
TILLY,33
WALLY,33
WATSON,33
XENA,33
BRADY,32
KONA,32
MACY,32
RICKY,32
STAR,32
TIA,32
WHISKEY,32
AMY,31
BUFFY,31
CHARLEY,31
DIEGO,31
DOLLY,31
ECHO,31
FLUFFY,31
FREDDIE,31
HAILEY,31
HANNAH,31
IVY,31
LOGAN,31
MYA,31
PEARL,31
RAVEN,31
RINGO,31
SAMANTHA,31
SCOOBY,31
TANGO,31
TOFFEE,31
ARTHUR,30
CHEWIE,30
HARVEY,30
IZZY,30
MISHA,30
OAKLEY,30
RORY,30
SNOWY,30
TANK,30
THUNDER,30
TIGER,30
CHAMP,29
CLOVER,29
DANTE,29
KIRA,29
KIRBY,29
MABEL,29
MADDY,29
MADISON,29
MOJO,29
MORGAN,29
NEMO,29
NIKO,29
PHOENIX,29
QUINCY,29
BO,28
DORA,28
ELVIS,28
JENNY,28
MERLIN,28
MOLSON,28
PANDA,28
SASSY,28
SCOOTER,28
SKY,28
CANDY,27
CHANEL,27
COPPER,27
FELIX,27
FRED,27
GRACE,27
HAMISH,27
JADE,27
PERCY,27
SEAMUS,27
THEO,27
TIMMY,27
ZENA,27
BILLIE,26
BRUTUS,26
HERCULES,26
KILO,26
LEVI,26
MINI,26
MYLO,26
PIPPIN,26
ROSCO,26
TOBI,26
BOO,25
CAESAR,25
CASH,25
FREDDY,25
INDIE,25
LENNY,25
MARTY,25
MAVERICK,25
MILEY,25
NICO,25
PRECIOUS,25
SHAGGY,25
TINY,25
WILLY,25
YOGI,25
ALICE,24
ALLIE,24
BAMBI,24
BASIL,24
DIVA,24
FINLEY,24
KAYA,24
KELLY,24
LINCOLN,24
MANDY,24
NELLIE,24
NICKY,24
NIKITA,24
RIO,24
TITAN,24
WOODY,24
BARLEY,23
BENJAMIN,23
BLAZE,23
BUBBA,23
CRICKET,23
DARWIN,23
DYLAN,23
FINNIGAN,23
FOXY,23
KAYLA,23
LUCAS,23
MAGIC,23
MOMO,23
NELLY,23
PEPE,23
PIXIE,23
RASCAL,23
SUSIE,23
TACO,23
TAFFY,23
WILSON,23
ANDY,22
BEANS,22
BISCUIT,22
CARTER,22
COBY,22
CUJO,22
DALLAS,22
GYPSY,22
JACOB,22
KANE,22
KOKO,22
LIBBY,22
MATILDA,22
MILLY,22
PEPSI,22
RIVER,22
SARAH,22
TINA,22
TY,22
WILLIE,22
ZORRO,22
APRIL,21
BECKY,21
CHICA,21
DASH,21
FRANK,21
GEMMA,21
GOLDIE,21
JET,21
KOBI,21
LINUS,21
MAISIE,21
MAXWELL,21
PACO,21
PARIS,21
RALPH,21
ROLO,21
RYDER,21
SCARLETT,21
SMUDGE,21
SOFIE,21
SPOT,21
STEWIE,21
SUKI,21
SUSHI,21
SUZIE,21
TEQUILA,21
YOSHI,21
ATHENA,20
BARKLEY,20
BOOTS,20
DARBY,20
DJANGO,20
ELSA,20
GABBY,20
GIBSON,20
HANNA,20
HOPE,20
JAVA,20
KYLIE,20
LAIKA,20
LIZZIE,20
LUCIE,20
MACKENZIE,20
MANGO,20
MIKEY,20
MOXIE,20
ODIE,20
PIP,20
REILLY,20
RICO,20
SMOKEY,20
SONNY,20
AVA,19
BINGO,19
BOWIE,19
CINDY,19
CINNAMON,19
DODGER,19
DUNCAN,19
ENZO,19
KAYLEE,19
KINGSTON,19
LUCA,19
MASON,19
MURRAY,19
NOAH,19
OWEN,19
PABLO,19
RED,19
SIERRA,19
SNOWBALL,19
ALEX,18
AUSTIN,18
BIANCA,18
BROWNIE,18
BUBBLES,18
CHOCOLATE,18
CROSBY,18
DOBBY,18
DOLCE,18
ERNIE,18
FLASH,18
FLETCHER,18
HOMER,18
KELSEY,18
LONDON,18
MAXIE,18
MILA,18
MUGSY,18
RANGER,18
ROCKET,18
SHERLOCK,18
TIMBER,18
TYLER,18
ABBIE,17
BEBE,17
BERNIE,17
BIJOU,17
BLACKIE,17
BOSTON,17
BOWSER,17
BUTTONS,17
CALVIN,17
CEILIDH,17
CHIQUITA,17
COLE,17
DINO,17
DUCHESS,17
DUFFY,17
FRIDA,17
KAI,17
KATE,17
KIKO,17
LATTE,17
LYLA,17
MAGGIE MAE,17
MILES,17
MOCHI,17
OTTO,17
PATCH,17
PETEY,17
PIPPA,17
ROBBIE,17
SAGE,17
SKIPPER,17
SOPHIA,17
TAYLOR,17
TRUFFLES,17
WRIGLEY,17
YUKI,17
ZACK,17
ZARA,17
ZELDA,17
ABIGAIL,16
BEAN,16
BENSON,16
BOB,16
BOSS,16
CARA,16
COLBY,16
DIGBY,16
FLOYD,16
FRODO,16
GUNNER,16
IGGY,16
JEWEL,16
KAHLUA,16
MAISY,16
MAJOR,16
MARCUS,16
MICA,16
MOE,16
OLIVIA,16
ONYX,16
OSKAR,16
PADDY,16
PICKLES,16
RADAR,16
SNOOP,16
TANNER,16
TOFU,16
BORIS,15
CHIEF,15
CHIP,15
CLIFFORD,15
EBONY,15
EDDY,15
FIONA,15
FRITZ,15
GORDIE,15
HARPER,15
JAGGER,15
JJ,15
KUMA,15
LEIA,15
LEXUS,15
MARLEE,15
MARLOWE,15
MAXX,15
MIKO,15
MINDY,15
NAPOLEON,15
NELSON,15
POLLY,15
REMI,15
ROO,15
SCRAPPY,15
SHADY,15
TIMBIT,15
TONY,15
TROY,15
ZEPHYR,15
ALI,14
ALLY,14
ANGIE,14
ATLAS,14
ATTICUS,14
AXEL,14
BOGEY,14
BRONX,14
CHUCK,14
CLEMENTINE,14
CORA,14
EMILY,14
JINX,14
KOBY,14
LINDA,14
MACK,14
MEEKO,14
MIDNIGHT,14
NIKKO,14
NO NAME DOG,14
PLUTO,14
ROGER,14
SAMMIE,14
TIFFANY,14
TUX,14
ACHILLES,13
BETSY,13
BODHI,13
BOGART,13
BRIE,13
CEASAR,13
COCO CHANEL,13
COMET,13
DELILAH,13
DESI,13
DUTCH,13
ELMO,13
GARY,13
ISABELLA,13
JOJO,13
JOY,13
JULIE,13
KAISER,13
KIA,13
KINGSLEY,13
KODI,13
LEXY,13
LIAM,13
LILA,13
LILI,13
LOU,13
MACDUFF,13
MAGGIE MAY,13
MARVIN,13
MISHKA,13
MOLLIE,13
NACHO,13
NERO,13
NICK,13
NORA,13
NORMAN,13
PINKY,13
POLO,13
REESE,13
ROXI,13
RUSSELL,13
SARA,13
SIDNEY,13
SNICKERS,13
SUNSHINE,13
SUZY,13
THEODORE,13
TITUS,13
ALVIN,12
ARI,12
BARON,12
BAUER,12
BEAUREGARD,12
BEAUTY,12
BRONSON,12
BRUISER,12
CHERRY,12
CHOPPER,12
CINDER,12
CLOE,12
CLYDE,12
CUDDLES,12
DOMINO,12
DOUG,12
ELI,12
FIDO,12
GINNY,12
HALO,12
HARLOW,12
HECTOR,12
HERO,12
HOBBES,12
JAMIE,12
JERRY,12
JUNE,12
KAIA,12
KODY,12
LAILA,12
LEMON,12
LUTHER,12
MARLIE,12
MATTIE,12
MAUI,12
MEG,12
NAME?,12
NOVA,12
NYLA,12
PEACHES,12
PENELOPE,12
PONCHO,12
PORTER,12
PORTIA,12
SABLE,12
SAILOR,12
SHERMAN,12
SNOW,12
SOFIA,12
TRIGGER,12
TROOPER,12
TUXEDO,12
VIOLET,12
YUKON,12
ARCHER,11
AUSSIE,11
BACON,11
BALOO,11
BARNABY,11
BERKLEY,11
BOSLEY,11
BRANDI,11
BUDDHA,11
BUGSY,11
CARLY,11
CEDAR,11
CHEVY,11
CHEWBACCA,11
CHILI,11
CLARA,11
COAL,11
DIDI,11
DIGGER,11
ELLIOT,11
EVA,11
FIFI,11
FREYA,11
GIDGET,11
HOGAN,11
ICE,11
JADA,11
JORDAN,11
KATO,11
KENZIE,11
KEVIN,11
KITTY,11
LARRY,11
LASSIE,11
LEX,11
LUPO,11
MACEY,11
MAEVE,11
MAXI,11
MEEKA,11
MERCEDES,11
MONA,11
MUNCHKIN,11
NEO,11
NEWTON,11
NIKI,11
NINO,11
NUGGET,11
OSO,11
PAISLEY,11
PICO,11
PLATO,11
POOCHIE,11
POOKIE,11
PUGSLEY,11
RIDLEY,11
RIGGS,11
RUCKUS,11
SAVANNAH,11
SEVEN,11
SHEENA,11
SKYLAR,11
SULLY,11
TIKA,11
TURBO,11
WHISKY,11
WYATT,11
YODA,11
ALBERT,10
ANNABELLE,10
ARIEL,10
ARROW,10
ASTRO,10
AVERY,10
BART,10
BLONDIE,10
BLOSSOM,10
BONES,10
BREEZE,10
BUZZ,10
CASHEW,10
CHARLY,10
CHEYENNE,10
CHOCO,10
CICI,10
CLANCY,10
COLA,10
CRYSTAL,10
DAPHNE,10
DEEDEE,10
DORY,10
DOUGAL,10
DUDE,10
EINSTEIN,10
FORREST,10
GATSBY,10
HIGGINS,10
HUMPHREY,10
ISIS,10
KIERA,10
LEILA,10
LILO,10
LOBO,10
MANNY,10
MARSHALL,10
MAUDE,10
MIKI,10
MOBY,10
MOKA,10
MORTY,10
MOSES,10
MOWGLI,10
MUFFY,10
NIGEL,10
NINJA,10
PADDINGTON,10
PANCHO,10
PAPI,10
PUPPY,10
SAMI,10
SAMPSON,10
SAWYER,10
SCOTTY,10
SEBASTIAN,10
SHEEBA,10
SNOWFLAKE,10
SPIKEY,10
SPIRIT,10
STEVIE,10
STITCH,10
TED,10
TERRA,10
TICO,10
TIGGER,10
TIKI,10
TROUBLE,10
TUFFY,10
WALLACE,10
WESLEY,10
WILLIAM,10
YOYO,10
ZEKE,10
APPLE,9
ASHLEY,9
ASPEN,9
BEATRICE,9
BECCA,9
BRIO,9
BUCK,9
CARAMEL,9
CASSIDY,9
CLEOPATRA,9
COCONUT,9
COFFEE,9
DUFF,9
EVE,9
FERGIE,9
FINLAY,9
FLORA,9
FRANKLIN,9
FRIDAY,9
GEORDIE,9
GOLIATH,9
GRETA,9
HALEY,9
HALLIE,9
HAYLEY,9
HENDRIX,9
INDIANA,9
ISABELLE,9
JARVIS,9
JAXSON,9
JETT,9
JOLIE,9
KIMI,9
LEAH,9
LLOYD,9
MARS,9
MATTY,9
MICKY,9
MISCHA,9
MONEY,9
MONTANA,9
MOOKIE,9
